animal_name,sex,genotype,Duration_sec,Section,Frequency
TDP43-Q331K-B6J-IC/1.1a,f,TDP-43_Q331K:Hom,149.52,closed,17
TDP43-Q331K-B6J-IC/1.1b,f,TDP-43_Q331K:Hom,225.92,closed,13
TDP43-Q331K-B6J-IC/1.1e,m,TDP-43_Q331K:Hom,205.28,closed,21
TDP43-Q331K-B6J-IC/1.1f,m,TDP-43_Q331K:WT,156.64,closed,18
TDP43-Q331K-B6J-IC/1.1h,m,TDP-43_Q331K:WT,181.36,closed,19
TDP43-Q331K-B6J-IC/1.1i,m,TDP-43_Q331K:Hom,224.08,closed,12
TDP43-Q331K-B6J-IC/1.2b,f,TDP-43_Q331K:Hom,181.2,closed,19
TDP43-Q331K-B6J-IC/1.2e,f,TDP-43_Q331K:WT,174.32,closed,18
TDP43-Q331K-B6J-IC/2.1b,f,TDP-43_Q331K:WT,166.72,closed,21
TDP43-Q331K-B6J-IC/2.1e,m,TDP-43_Q331K:WT,162.48,closed,22
TDP43-Q331K-B6J-IC/2.2a,f,TDP-43_Q331K:Hom,201.6,closed,14
TDP43-Q331K-B6J-IC/2.2d,f,TDP-43_Q331K:WT,159.04,closed,25
TDP43-Q331K-B6J-IC/2.3b,f,TDP-43_Q331K:WT,218.72,closed,22
TDP43-Q331K-B6J-IC/2.3c,f,TDP-43_Q331K:Hom,165.12,closed,18
TDP43-Q331K-B6J-IC/2.3f,m,TDP-43_Q331K:Hom,176.24,closed,16
TDP43-Q331K-B6J-IC/2.3g,m,TDP-43_Q331K:Hom,160.48,closed,23
TDP43-Q331K-B6J-IC/2.4c,f,TDP-43_Q331K:WT,165.92,closed,20
TDP43-Q331K-B6J-IC/3.1c,m,TDP-43_Q331K:WT,204.32,closed,23
TDP43-Q331K-B6J-IC/3.2a,f,TDP-43_Q331K:WT,243.36,closed,15
TDP43-Q331K-B6J-IC/3.3h,m,TDP-43_Q331K:Hom,136.48,closed,16
TDP43-Q331K-B6J-IC/3.3i,m,TDP-43_Q331K:Hom,172.16,closed,13
TDP43-Q331K-B6J-IC/3.3j,m,TDP-43_Q331K:WT,221.76,closed,21
TDP43-Q331K-B6J-IC/3.3k,m,TDP-43_Q331K:Hom,130.24,closed,20
TDP43-Q331K-B6J-IC/3.3m,m,TDP-43_Q331K:Hom,135.92,closed,9
TDP43-Q331K-B6J-IC/3.3n,m,TDP-43_Q331K:WT,265.44,closed,7
TDP43-Q331K-B6J-IC/4.1a,f,TDP-43_Q331K:Hom,230.88,closed,12
TDP43-Q331K-B6J-IC/4.1h,m,TDP-43_Q331K:WT,236.88,closed,14
TDP43-Q331K-B6J-IC/4.2b,f,TDP-43_Q331K:WT,178.8,closed,15
TDP43-Q331K-B6J-IC/4.2e,f,TDP-43_Q331K:Hom,149.44,closed,12
TDP43-Q331K-B6J-IC/4.2g,f,TDP-43_Q331K:WT,207.28,closed,12
TDP43-Q331K-B6J-IC/4.2n,m,TDP-43_Q331K:WT,183.12,closed,19
TDP43-Q331K-B6J-IC/5.1f,f,TDP-43_Q331K:Hom,238.72,closed,23
TDP43-Q331K-B6J-IC/5.1g,m,TDP-43_Q331K:Hom,165.52,closed,12
TDP43-Q331K-B6J-IC/5.1j,m,TDP-43_Q331K:Hom,116.4,closed,17
TDP43-Q331K-B6J-IC/6.1a,f,TDP-43_Q331K:WT,210.8,closed,26
TDP43-Q331K-B6J-IC/6.1c,f,TDP-43_Q331K:WT,268.64,closed,12
TDP43-Q331K-B6J-IC/6.1d,f,TDP-43_Q331K:Hom,193.12,closed,15
TDP43-Q331K-B6J-IC/6.1g,m,TDP-43_Q331K:WT,208,closed,15
TDP43-Q331K-B6J-IC/6.2d,f,TDP-43_Q331K:Hom,156.4,closed,20
TDP43-Q331K-B6J-IC/6.3c,m,TDP-43_Q331K:WT,155.92,closed,16
TDP43-Q331K-B6J-IC/6.3f,m,TDP-43_Q331K:Hom,196.88,closed,13
TDP43-Q331K-B6J-IC/6.3g,m,TDP-43_Q331K:Hom,122.8,closed,16
TDP43-Q331K-B6J-IC/7.1e,m,TDP-43_Q331K:WT,179.04,closed,17
TDP43-Q331K-B6J-IC/8.1d,m,TDP-43_Q331K:WT,168.48,closed,23
TDP43-Q331K-B6J-IC/8.1e,m,TDP-43_Q331K:WT,197.6,closed,14
TDP43-Q331K-B6J-IC/8.2c,f,TDP-43_Q331K:Hom,243.84,closed,14
TDP43-Q331K-B6J-IC/8.2e,m,TDP-43_Q331K:Hom,203.36,closed,14
TDP43-Q331K-B6J-IC/9.1a,f,TDP-43_Q331K:WT,159.36,closed,23
TDP43-Q331K-B6J-IC/9.1g,m,TDP-43_Q331K:WT,227.12,closed,20
TDP43-Q331K-B6J-IC/9.1h,m,TDP-43_Q331K:Hom,234.8,closed,12
TDP43-Q331K-B6J-IC/9.2a,f,TDP-43_Q331K:WT,157.6,closed,20
TDP43-Q331K-B6J-IC/9.2c,m,TDP-43_Q331K:WT,175.68,closed,14
TDP43-Q331K-B6J-IC/9.2f,m,TDP-43_Q331K:Hom,178.24,closed,15
TDP43-Q331K-B6J-IC/1.1a,f,TDP-43_Q331K:Hom,39.52,open,6
TDP43-Q331K-B6J-IC/1.1b,f,TDP-43_Q331K:Hom,4.16,open,2
TDP43-Q331K-B6J-IC/1.1e,m,TDP-43_Q331K:Hom,44.48,open,8
TDP43-Q331K-B6J-IC/1.1f,m,TDP-43_Q331K:WT,48.56,open,10
TDP43-Q331K-B6J-IC/1.1h,m,TDP-43_Q331K:WT,24.88,open,3
TDP43-Q331K-B6J-IC/1.1i,m,TDP-43_Q331K:Hom,11.76,open,5
TDP43-Q331K-B6J-IC/1.2b,f,TDP-43_Q331K:Hom,30.56,open,6
TDP43-Q331K-B6J-IC/1.2e,f,TDP-43_Q331K:WT,25.76,open,4
TDP43-Q331K-B6J-IC/2.1b,f,TDP-43_Q331K:WT,56.88,open,9
TDP43-Q331K-B6J-IC/2.1e,m,TDP-43_Q331K:WT,66.32,open,15
TDP43-Q331K-B6J-IC/2.2a,f,TDP-43_Q331K:Hom,12.16,open,4
TDP43-Q331K-B6J-IC/2.2d,f,TDP-43_Q331K:WT,40.96,open,10
TDP43-Q331K-B6J-IC/2.3b,f,TDP-43_Q331K:WT,20.72,open,5
TDP43-Q331K-B6J-IC/2.3c,f,TDP-43_Q331K:Hom,71.92,open,8
TDP43-Q331K-B6J-IC/2.3f,m,TDP-43_Q331K:Hom,36.24,open,4
TDP43-Q331K-B6J-IC/2.3g,m,TDP-43_Q331K:Hom,67.28,open,11
TDP43-Q331K-B6J-IC/2.4c,f,TDP-43_Q331K:WT,44.08,open,5
TDP43-Q331K-B6J-IC/3.1c,m,TDP-43_Q331K:WT,29.12,open,9
TDP43-Q331K-B6J-IC/3.2a,f,TDP-43_Q331K:WT,15.44,open,4
TDP43-Q331K-B6J-IC/3.3h,m,TDP-43_Q331K:Hom,31.44,open,5
TDP43-Q331K-B6J-IC/3.3i,m,TDP-43_Q331K:Hom,54,open,6
TDP43-Q331K-B6J-IC/3.3j,m,TDP-43_Q331K:WT,12.64,open,5
TDP43-Q331K-B6J-IC/3.3k,m,TDP-43_Q331K:Hom,41.68,open,7
TDP43-Q331K-B6J-IC/3.3m,m,TDP-43_Q331K:Hom,59.68,open,2
TDP43-Q331K-B6J-IC/3.3n,m,TDP-43_Q331K:WT,0,open,0
TDP43-Q331K-B6J-IC/4.1a,f,TDP-43_Q331K:Hom,11.6,open,4
TDP43-Q331K-B6J-IC/4.1h,m,TDP-43_Q331K:WT,3.44,open,1
TDP43-Q331K-B6J-IC/4.2b,f,TDP-43_Q331K:WT,24.64,open,3
TDP43-Q331K-B6J-IC/4.2e,f,TDP-43_Q331K:Hom,43.36,open,6
TDP43-Q331K-B6J-IC/4.2g,f,TDP-43_Q331K:WT,32.24,open,7
TDP43-Q331K-B6J-IC/4.2n,m,TDP-43_Q331K:WT,42.88,open,7
TDP43-Q331K-B6J-IC/5.1f,f,TDP-43_Q331K:Hom,6.72,open,2
TDP43-Q331K-B6J-IC/5.1g,m,TDP-43_Q331K:Hom,59.04,open,9
TDP43-Q331K-B6J-IC/5.1j,m,TDP-43_Q331K:Hom,77.36,open,12
TDP43-Q331K-B6J-IC/6.1a,f,TDP-43_Q331K:WT,8.24,open,6
TDP43-Q331K-B6J-IC/6.1c,f,TDP-43_Q331K:WT,1.76,open,2
TDP43-Q331K-B6J-IC/6.1d,f,TDP-43_Q331K:Hom,23.36,open,3
TDP43-Q331K-B6J-IC/6.1g,m,TDP-43_Q331K:WT,24.32,open,3
TDP43-Q331K-B6J-IC/6.2d,f,TDP-43_Q331K:Hom,47.68,open,5
TDP43-Q331K-B6J-IC/6.3c,m,TDP-43_Q331K:WT,54.48,open,7
TDP43-Q331K-B6J-IC/6.3f,m,TDP-43_Q331K:Hom,47.04,open,9
TDP43-Q331K-B6J-IC/6.3g,m,TDP-43_Q331K:Hom,92.48,open,14
TDP43-Q331K-B6J-IC/7.1e,m,TDP-43_Q331K:WT,43.2,open,8
TDP43-Q331K-B6J-IC/8.1d,m,TDP-43_Q331K:WT,37.12,open,5
TDP43-Q331K-B6J-IC/8.1e,m,TDP-43_Q331K:WT,35.76,open,5
TDP43-Q331K-B6J-IC/8.2c,f,TDP-43_Q331K:Hom,7.04,open,3
TDP43-Q331K-B6J-IC/8.2e,m,TDP-43_Q331K:Hom,29.44,open,4
TDP43-Q331K-B6J-IC/9.1a,f,TDP-43_Q331K:WT,37.68,open,8
TDP43-Q331K-B6J-IC/9.1g,m,TDP-43_Q331K:WT,15.52,open,3
TDP43-Q331K-B6J-IC/9.1h,m,TDP-43_Q331K:Hom,16.32,open,3
TDP43-Q331K-B6J-IC/9.2a,f,TDP-43_Q331K:WT,31.36,open,5
TDP43-Q331K-B6J-IC/9.2c,m,TDP-43_Q331K:WT,38.8,open,6
TDP43-Q331K-B6J-IC/9.2f,m,TDP-43_Q331K:Hom,46.16,open,5
TDP43-Q331K-B6J-IC/1.1a,f,TDP-43_Q331K:Hom,110.96,centre,21
TDP43-Q331K-B6J-IC/1.1b,f,TDP-43_Q331K:Hom,69.92,centre,15
TDP43-Q331K-B6J-IC/1.1e,m,TDP-43_Q331K:Hom,50.24,centre,27
TDP43-Q331K-B6J-IC/1.1f,m,TDP-43_Q331K:WT,94.8,centre,27
TDP43-Q331K-B6J-IC/1.1h,m,TDP-43_Q331K:WT,93.76,centre,21
TDP43-Q331K-B6J-IC/1.1i,m,TDP-43_Q331K:Hom,64.16,centre,17
TDP43-Q331K-B6J-IC/1.2b,f,TDP-43_Q331K:Hom,88.24,centre,20
TDP43-Q331K-B6J-IC/1.2e,f,TDP-43_Q331K:WT,99.92,centre,21
TDP43-Q331K-B6J-IC/2.1b,f,TDP-43_Q331K:WT,76.4,centre,27
TDP43-Q331K-B6J-IC/2.1e,m,TDP-43_Q331K:WT,71.2,centre,33
TDP43-Q331K-B6J-IC/2.2a,f,TDP-43_Q331K:Hom,86.24,centre,17
TDP43-Q331K-B6J-IC/2.2d,f,TDP-43_Q331K:WT,100,centre,29
TDP43-Q331K-B6J-IC/2.3b,f,TDP-43_Q331K:WT,60.56,centre,25
TDP43-Q331K-B6J-IC/2.3c,f,TDP-43_Q331K:Hom,62,centre,22
TDP43-Q331K-B6J-IC/2.3f,m,TDP-43_Q331K:Hom,87.52,centre,21
TDP43-Q331K-B6J-IC/2.3g,m,TDP-43_Q331K:Hom,72.24,centre,30
TDP43-Q331K-B6J-IC/2.4c,f,TDP-43_Q331K:WT,90,centre,25
TDP43-Q331K-B6J-IC/3.1c,m,TDP-43_Q331K:WT,66.56,centre,27
TDP43-Q331K-B6J-IC/3.2a,f,TDP-43_Q331K:WT,41.2,centre,18
TDP43-Q331K-B6J-IC/3.3h,m,TDP-43_Q331K:Hom,132.08,centre,20
TDP43-Q331K-B6J-IC/3.3i,m,TDP-43_Q331K:Hom,73.84,centre,19
TDP43-Q331K-B6J-IC/3.3j,m,TDP-43_Q331K:WT,65.6,centre,24
TDP43-Q331K-B6J-IC/3.3k,m,TDP-43_Q331K:Hom,128.08,centre,26
TDP43-Q331K-B6J-IC/3.3m,m,TDP-43_Q331K:Hom,104.4,centre,12
TDP43-Q331K-B6J-IC/3.3n,m,TDP-43_Q331K:WT,34.56,centre,7
TDP43-Q331K-B6J-IC/4.1a,f,TDP-43_Q331K:Hom,57.52,centre,15
TDP43-Q331K-B6J-IC/4.1h,m,TDP-43_Q331K:WT,59.68,centre,15
TDP43-Q331K-B6J-IC/4.2b,f,TDP-43_Q331K:WT,96.56,centre,18
TDP43-Q331K-B6J-IC/4.2e,f,TDP-43_Q331K:Hom,107.2,centre,18
TDP43-Q331K-B6J-IC/4.2g,f,TDP-43_Q331K:WT,60.48,centre,17
TDP43-Q331K-B6J-IC/4.2n,m,TDP-43_Q331K:WT,74,centre,25
TDP43-Q331K-B6J-IC/5.1f,f,TDP-43_Q331K:Hom,54.56,centre,25
TDP43-Q331K-B6J-IC/5.1g,m,TDP-43_Q331K:Hom,75.44,centre,22
TDP43-Q331K-B6J-IC/5.1j,m,TDP-43_Q331K:Hom,106.24,centre,27
TDP43-Q331K-B6J-IC/6.1a,f,TDP-43_Q331K:WT,80.96,centre,29
TDP43-Q331K-B6J-IC/6.1c,f,TDP-43_Q331K:WT,29.6,centre,13
TDP43-Q331K-B6J-IC/6.1d,f,TDP-43_Q331K:Hom,83.52,centre,16
TDP43-Q331K-B6J-IC/6.1g,m,TDP-43_Q331K:WT,67.68,centre,17
TDP43-Q331K-B6J-IC/6.2d,f,TDP-43_Q331K:Hom,95.92,centre,22
TDP43-Q331K-B6J-IC/6.3c,m,TDP-43_Q331K:WT,89.6,centre,21
TDP43-Q331K-B6J-IC/6.3f,m,TDP-43_Q331K:Hom,56.08,centre,21
TDP43-Q331K-B6J-IC/6.3g,m,TDP-43_Q331K:Hom,84.72,centre,27
TDP43-Q331K-B6J-IC/7.1e,m,TDP-43_Q331K:WT,77.76,centre,25
TDP43-Q331K-B6J-IC/8.1d,m,TDP-43_Q331K:WT,94.4,centre,28
TDP43-Q331K-B6J-IC/8.1e,m,TDP-43_Q331K:WT,66.64,centre,18
TDP43-Q331K-B6J-IC/8.2c,f,TDP-43_Q331K:Hom,49.12,centre,17
TDP43-Q331K-B6J-IC/8.2e,m,TDP-43_Q331K:Hom,67.2,centre,19
TDP43-Q331K-B6J-IC/9.1a,f,TDP-43_Q331K:WT,102.96,centre,29
TDP43-Q331K-B6J-IC/9.1g,m,TDP-43_Q331K:WT,57.36,centre,21
TDP43-Q331K-B6J-IC/9.1h,m,TDP-43_Q331K:Hom,48.88,centre,15
TDP43-Q331K-B6J-IC/9.2a,f,TDP-43_Q331K:WT,111.04,centre,25
TDP43-Q331K-B6J-IC/9.2c,m,TDP-43_Q331K:WT,85.52,centre,19
TDP43-Q331K-B6J-IC/9.2f,m,TDP-43_Q331K:Hom,75.6,centre,20
