animal_name,genotype,sex,smell,time
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,F1,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,F2,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,F3,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,N1,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,N2,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,N3,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,W1,19.4
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,W2,11.8
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,W3,0
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,F1,
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,F2,
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,F3,
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,N1,31
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,N2,24.7
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,N3,0
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,W1,33.5
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,W2,16.1
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,W3,9.5
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,F1,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,F2,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,F3,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,N1,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,N2,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,N3,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,W1,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,W2,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,W3,
TDP43-Q331K-B6J-IC/1.1e,TDP-43_Q331K:Hom,m,F1,41.9
TDP43-Q331K-B6J-IC/1.1e,TDP-43_Q331K:Hom,m,F2,9.5
TDP43-Q331K-B6J-IC/1.1e,TDP-43_Q331K:Hom,m,F3,11.3
TDP43-Q331K-B6J-IC/1.1e,TDP-43_Q331K:Hom,m,N1,
TDP43-Q331K-B6J-IC/1.1e,TDP-43_Q331K:Hom,m,N2,
TDP43-Q331K-B6J-IC/1.1e,TDP-43_Q331K:Hom,m,N3,
TDP43-Q331K-B6J-IC/1.1e,TDP-43_Q331K:Hom,m,W1,24.8
TDP43-Q331K-B6J-IC/1.1e,TDP-43_Q331K:Hom,m,W2,1.8
TDP43-Q331K-B6J-IC/1.1e,TDP-43_Q331K:Hom,m,W3,0.3
TDP43-Q331K-B6J-IC/1.1f,TDP-43_Q331K:WT,m,F1,29.2
TDP43-Q331K-B6J-IC/1.1f,TDP-43_Q331K:WT,m,F2,19.3
TDP43-Q331K-B6J-IC/1.1f,TDP-43_Q331K:WT,m,F3,27.1
TDP43-Q331K-B6J-IC/1.1f,TDP-43_Q331K:WT,m,N1,19.5
TDP43-Q331K-B6J-IC/1.1f,TDP-43_Q331K:WT,m,N2,7
TDP43-Q331K-B6J-IC/1.1f,TDP-43_Q331K:WT,m,N3,0
TDP43-Q331K-B6J-IC/1.1f,TDP-43_Q331K:WT,m,W1,
TDP43-Q331K-B6J-IC/1.1f,TDP-43_Q331K:WT,m,W2,
TDP43-Q331K-B6J-IC/1.1f,TDP-43_Q331K:WT,m,W3,
TDP43-Q331K-B6J-IC/1.1h,TDP-43_Q331K:WT,m,F1,10.2
TDP43-Q331K-B6J-IC/1.1h,TDP-43_Q331K:WT,m,F2,11.4
TDP43-Q331K-B6J-IC/1.1h,TDP-43_Q331K:WT,m,F3,0
TDP43-Q331K-B6J-IC/1.1h,TDP-43_Q331K:WT,m,N1,32.5
TDP43-Q331K-B6J-IC/1.1h,TDP-43_Q331K:WT,m,N2,28.7
TDP43-Q331K-B6J-IC/1.1h,TDP-43_Q331K:WT,m,N3,27
TDP43-Q331K-B6J-IC/1.1h,TDP-43_Q331K:WT,m,W1,12.3
TDP43-Q331K-B6J-IC/1.1h,TDP-43_Q331K:WT,m,W2,0
TDP43-Q331K-B6J-IC/1.1h,TDP-43_Q331K:WT,m,W3,0
TDP43-Q331K-B6J-IC/1.1i,TDP-43_Q331K:Hom,m,F1,29.2
TDP43-Q331K-B6J-IC/1.1i,TDP-43_Q331K:Hom,m,F2,23.6
TDP43-Q331K-B6J-IC/1.1i,TDP-43_Q331K:Hom,m,F3,4.5
TDP43-Q331K-B6J-IC/1.1i,TDP-43_Q331K:Hom,m,N1,
TDP43-Q331K-B6J-IC/1.1i,TDP-43_Q331K:Hom,m,N2,
TDP43-Q331K-B6J-IC/1.1i,TDP-43_Q331K:Hom,m,N3,
TDP43-Q331K-B6J-IC/1.1i,TDP-43_Q331K:Hom,m,W1,13.7
TDP43-Q331K-B6J-IC/1.1i,TDP-43_Q331K:Hom,m,W2,0.3
TDP43-Q331K-B6J-IC/1.1i,TDP-43_Q331K:Hom,m,W3,0
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,F1,65.5
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,F2,33.6
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,F3,29.8
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,N1,33.9
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,N2,47.7
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,N3,24.2
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,W1,28.4
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,W2,30.1
TDP43-Q331K-B6J-IC/1.2b,TDP-43_Q331K:Hom,f,W3,5
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,F1,20.4
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,F2,16.9
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,F3,21.6
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,N1,15.8
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,N2,18.4
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,N3,7.7
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,W1,31.1
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,W2,4
TDP43-Q331K-B6J-IC/1.2e,TDP-43_Q331K:WT,f,W3,4.9
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,F1,25.7
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,F2,9.6
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,F3,2.3
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,N1,
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,N2,
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,N3,
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,W1,19.4
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,W2,0.3
TDP43-Q331K-B6J-IC/2.1b,TDP-43_Q331K:WT,f,W3,0
TDP43-Q331K-B6J-IC/2.1e,TDP-43_Q331K:WT,m,F1,
TDP43-Q331K-B6J-IC/2.1e,TDP-43_Q331K:WT,m,F2,
TDP43-Q331K-B6J-IC/2.1e,TDP-43_Q331K:WT,m,F3,
TDP43-Q331K-B6J-IC/2.1e,TDP-43_Q331K:WT,m,N1,48.4
TDP43-Q331K-B6J-IC/2.1e,TDP-43_Q331K:WT,m,N2,13.8
TDP43-Q331K-B6J-IC/2.1e,TDP-43_Q331K:WT,m,N3,34.9
TDP43-Q331K-B6J-IC/2.1e,TDP-43_Q331K:WT,m,W1,31.4
TDP43-Q331K-B6J-IC/2.1e,TDP-43_Q331K:WT,m,W2,17.3
TDP43-Q331K-B6J-IC/2.1e,TDP-43_Q331K:WT,m,W3,9.5
TDP43-Q331K-B6J-IC/2.2a,TDP-43_Q331K:Hom,f,F1,18.7
TDP43-Q331K-B6J-IC/2.2a,TDP-43_Q331K:Hom,f,F2,2.5
TDP43-Q331K-B6J-IC/2.2a,TDP-43_Q331K:Hom,f,F3,3.5
TDP43-Q331K-B6J-IC/2.2a,TDP-43_Q331K:Hom,f,N1,29.5
TDP43-Q331K-B6J-IC/2.2a,TDP-43_Q331K:Hom,f,N2,10.7
TDP43-Q331K-B6J-IC/2.2a,TDP-43_Q331K:Hom,f,N3,8.3
TDP43-Q331K-B6J-IC/2.2a,TDP-43_Q331K:Hom,f,W1,26.3
TDP43-Q331K-B6J-IC/2.2a,TDP-43_Q331K:Hom,f,W2,19.4
TDP43-Q331K-B6J-IC/2.2a,TDP-43_Q331K:Hom,f,W3,31.9
TDP43-Q331K-B6J-IC/2.2d,TDP-43_Q331K:WT,f,F1,
TDP43-Q331K-B6J-IC/2.2d,TDP-43_Q331K:WT,f,F2,
TDP43-Q331K-B6J-IC/2.2d,TDP-43_Q331K:WT,f,F3,
TDP43-Q331K-B6J-IC/2.2d,TDP-43_Q331K:WT,f,N1,14.8
TDP43-Q331K-B6J-IC/2.2d,TDP-43_Q331K:WT,f,N2,5.5
TDP43-Q331K-B6J-IC/2.2d,TDP-43_Q331K:WT,f,N3,12.7
TDP43-Q331K-B6J-IC/2.2d,TDP-43_Q331K:WT,f,W1,
TDP43-Q331K-B6J-IC/2.2d,TDP-43_Q331K:WT,f,W2,
TDP43-Q331K-B6J-IC/2.2d,TDP-43_Q331K:WT,f,W3,
TDP43-Q331K-B6J-IC/2.3b,TDP-43_Q331K:WT,f,F1,19.5
TDP43-Q331K-B6J-IC/2.3b,TDP-43_Q331K:WT,f,F2,0
TDP43-Q331K-B6J-IC/2.3b,TDP-43_Q331K:WT,f,F3,0
TDP43-Q331K-B6J-IC/2.3b,TDP-43_Q331K:WT,f,N1,
TDP43-Q331K-B6J-IC/2.3b,TDP-43_Q331K:WT,f,N2,
TDP43-Q331K-B6J-IC/2.3b,TDP-43_Q331K:WT,f,N3,
TDP43-Q331K-B6J-IC/2.3b,TDP-43_Q331K:WT,f,W1,
TDP43-Q331K-B6J-IC/2.3b,TDP-43_Q331K:WT,f,W2,
TDP43-Q331K-B6J-IC/2.3b,TDP-43_Q331K:WT,f,W3,
TDP43-Q331K-B6J-IC/2.3c,TDP-43_Q331K:Hom,f,F1,30.4
TDP43-Q331K-B6J-IC/2.3c,TDP-43_Q331K:Hom,f,F2,15.9
TDP43-Q331K-B6J-IC/2.3c,TDP-43_Q331K:Hom,f,F3,8.6
TDP43-Q331K-B6J-IC/2.3c,TDP-43_Q331K:Hom,f,N1,46.3
TDP43-Q331K-B6J-IC/2.3c,TDP-43_Q331K:Hom,f,N2,35.3
TDP43-Q331K-B6J-IC/2.3c,TDP-43_Q331K:Hom,f,N3,5.4
TDP43-Q331K-B6J-IC/2.3c,TDP-43_Q331K:Hom,f,W1,13.1
TDP43-Q331K-B6J-IC/2.3c,TDP-43_Q331K:Hom,f,W2,5
TDP43-Q331K-B6J-IC/2.3c,TDP-43_Q331K:Hom,f,W3,8.7
TDP43-Q331K-B6J-IC/2.3f,TDP-43_Q331K:Hom,m,F1,21.1
TDP43-Q331K-B6J-IC/2.3f,TDP-43_Q331K:Hom,m,F2,0.3
TDP43-Q331K-B6J-IC/2.3f,TDP-43_Q331K:Hom,m,F3,0
TDP43-Q331K-B6J-IC/2.3f,TDP-43_Q331K:Hom,m,N1,33.7
TDP43-Q331K-B6J-IC/2.3f,TDP-43_Q331K:Hom,m,N2,10.7
TDP43-Q331K-B6J-IC/2.3f,TDP-43_Q331K:Hom,m,N3,12.9
TDP43-Q331K-B6J-IC/2.3f,TDP-43_Q331K:Hom,m,W1,14.5
TDP43-Q331K-B6J-IC/2.3f,TDP-43_Q331K:Hom,m,W2,8
TDP43-Q331K-B6J-IC/2.3f,TDP-43_Q331K:Hom,m,W3,1.2
TDP43-Q331K-B6J-IC/2.3g,TDP-43_Q331K:Hom,m,F1,11.2
TDP43-Q331K-B6J-IC/2.3g,TDP-43_Q331K:Hom,m,F2,22.9
TDP43-Q331K-B6J-IC/2.3g,TDP-43_Q331K:Hom,m,F3,15.7
TDP43-Q331K-B6J-IC/2.3g,TDP-43_Q331K:Hom,m,N1,21.4
TDP43-Q331K-B6J-IC/2.3g,TDP-43_Q331K:Hom,m,N2,7.1
TDP43-Q331K-B6J-IC/2.3g,TDP-43_Q331K:Hom,m,N3,0.7
TDP43-Q331K-B6J-IC/2.3g,TDP-43_Q331K:Hom,m,W1,22.7
TDP43-Q331K-B6J-IC/2.3g,TDP-43_Q331K:Hom,m,W2,2
TDP43-Q331K-B6J-IC/2.3g,TDP-43_Q331K:Hom,m,W3,5.3
TDP43-Q331K-B6J-IC/2.4c,TDP-43_Q331K:WT,f,F1,19.6
TDP43-Q331K-B6J-IC/2.4c,TDP-43_Q331K:WT,f,F2,13.1
TDP43-Q331K-B6J-IC/2.4c,TDP-43_Q331K:WT,f,F3,2.4
TDP43-Q331K-B6J-IC/2.4c,TDP-43_Q331K:WT,f,N1,20.5
TDP43-Q331K-B6J-IC/2.4c,TDP-43_Q331K:WT,f,N2,3.7
TDP43-Q331K-B6J-IC/2.4c,TDP-43_Q331K:WT,f,N3,19
TDP43-Q331K-B6J-IC/2.4c,TDP-43_Q331K:WT,f,W1,
TDP43-Q331K-B6J-IC/2.4c,TDP-43_Q331K:WT,f,W2,
TDP43-Q331K-B6J-IC/2.4c,TDP-43_Q331K:WT,f,W3,
TDP43-Q331K-B6J-IC/3.1c,TDP-43_Q331K:WT,m,F1,
TDP43-Q331K-B6J-IC/3.1c,TDP-43_Q331K:WT,m,F2,
TDP43-Q331K-B6J-IC/3.1c,TDP-43_Q331K:WT,m,F3,
TDP43-Q331K-B6J-IC/3.1c,TDP-43_Q331K:WT,m,N1,
TDP43-Q331K-B6J-IC/3.1c,TDP-43_Q331K:WT,m,N2,
TDP43-Q331K-B6J-IC/3.1c,TDP-43_Q331K:WT,m,N3,
TDP43-Q331K-B6J-IC/3.1c,TDP-43_Q331K:WT,m,W1,
TDP43-Q331K-B6J-IC/3.1c,TDP-43_Q331K:WT,m,W2,
TDP43-Q331K-B6J-IC/3.1c,TDP-43_Q331K:WT,m,W3,
TDP43-Q331K-B6J-IC/3.2a,TDP-43_Q331K:WT,f,F1,19.7
TDP43-Q331K-B6J-IC/3.2a,TDP-43_Q331K:WT,f,F2,2.5
TDP43-Q331K-B6J-IC/3.2a,TDP-43_Q331K:WT,f,F3,5.5
TDP43-Q331K-B6J-IC/3.2a,TDP-43_Q331K:WT,f,N1,19
TDP43-Q331K-B6J-IC/3.2a,TDP-43_Q331K:WT,f,N2,5.3
TDP43-Q331K-B6J-IC/3.2a,TDP-43_Q331K:WT,f,N3,1.2
TDP43-Q331K-B6J-IC/3.2a,TDP-43_Q331K:WT,f,W1,
TDP43-Q331K-B6J-IC/3.2a,TDP-43_Q331K:WT,f,W2,
TDP43-Q331K-B6J-IC/3.2a,TDP-43_Q331K:WT,f,W3,
TDP43-Q331K-B6J-IC/3.3h,TDP-43_Q331K:Hom,m,F1,
TDP43-Q331K-B6J-IC/3.3h,TDP-43_Q331K:Hom,m,F2,
TDP43-Q331K-B6J-IC/3.3h,TDP-43_Q331K:Hom,m,F3,
TDP43-Q331K-B6J-IC/3.3h,TDP-43_Q331K:Hom,m,N1,32.7
TDP43-Q331K-B6J-IC/3.3h,TDP-43_Q331K:Hom,m,N2,25
TDP43-Q331K-B6J-IC/3.3h,TDP-43_Q331K:Hom,m,N3,4.6
TDP43-Q331K-B6J-IC/3.3h,TDP-43_Q331K:Hom,m,W1,15.2
TDP43-Q331K-B6J-IC/3.3h,TDP-43_Q331K:Hom,m,W2,1.8
TDP43-Q331K-B6J-IC/3.3h,TDP-43_Q331K:Hom,m,W3,0
TDP43-Q331K-B6J-IC/3.3i,TDP-43_Q331K:Hom,m,F1,20
TDP43-Q331K-B6J-IC/3.3i,TDP-43_Q331K:Hom,m,F2,9.5
TDP43-Q331K-B6J-IC/3.3i,TDP-43_Q331K:Hom,m,F3,0.8
TDP43-Q331K-B6J-IC/3.3i,TDP-43_Q331K:Hom,m,N1,45.8
TDP43-Q331K-B6J-IC/3.3i,TDP-43_Q331K:Hom,m,N2,33.8
TDP43-Q331K-B6J-IC/3.3i,TDP-43_Q331K:Hom,m,N3,11.9
TDP43-Q331K-B6J-IC/3.3i,TDP-43_Q331K:Hom,m,W1,
TDP43-Q331K-B6J-IC/3.3i,TDP-43_Q331K:Hom,m,W2,
TDP43-Q331K-B6J-IC/3.3i,TDP-43_Q331K:Hom,m,W3,
TDP43-Q331K-B6J-IC/3.3j,TDP-43_Q331K:WT,m,F1,59.2
TDP43-Q331K-B6J-IC/3.3j,TDP-43_Q331K:WT,m,F2,9.1
TDP43-Q331K-B6J-IC/3.3j,TDP-43_Q331K:WT,m,F3,2.7
TDP43-Q331K-B6J-IC/3.3j,TDP-43_Q331K:WT,m,N1,40
TDP43-Q331K-B6J-IC/3.3j,TDP-43_Q331K:WT,m,N2,10.6
TDP43-Q331K-B6J-IC/3.3j,TDP-43_Q331K:WT,m,N3,8.5
TDP43-Q331K-B6J-IC/3.3j,TDP-43_Q331K:WT,m,W1,27.2
TDP43-Q331K-B6J-IC/3.3j,TDP-43_Q331K:WT,m,W2,9.1
TDP43-Q331K-B6J-IC/3.3j,TDP-43_Q331K:WT,m,W3,6.6
TDP43-Q331K-B6J-IC/3.3k,TDP-43_Q331K:Hom,m,F1,21.1
TDP43-Q331K-B6J-IC/3.3k,TDP-43_Q331K:Hom,m,F2,11.8
TDP43-Q331K-B6J-IC/3.3k,TDP-43_Q331K:Hom,m,F3,5.6
TDP43-Q331K-B6J-IC/3.3k,TDP-43_Q331K:Hom,m,N1,
TDP43-Q331K-B6J-IC/3.3k,TDP-43_Q331K:Hom,m,N2,
TDP43-Q331K-B6J-IC/3.3k,TDP-43_Q331K:Hom,m,N3,
TDP43-Q331K-B6J-IC/3.3k,TDP-43_Q331K:Hom,m,W1,
TDP43-Q331K-B6J-IC/3.3k,TDP-43_Q331K:Hom,m,W2,
TDP43-Q331K-B6J-IC/3.3k,TDP-43_Q331K:Hom,m,W3,
TDP43-Q331K-B6J-IC/3.3m,TDP-43_Q331K:Hom,m,F1,19.2
TDP43-Q331K-B6J-IC/3.3m,TDP-43_Q331K:Hom,m,F2,16.3
TDP43-Q331K-B6J-IC/3.3m,TDP-43_Q331K:Hom,m,F3,16.1
TDP43-Q331K-B6J-IC/3.3m,TDP-43_Q331K:Hom,m,N1,13.4
TDP43-Q331K-B6J-IC/3.3m,TDP-43_Q331K:Hom,m,N2,8.5
TDP43-Q331K-B6J-IC/3.3m,TDP-43_Q331K:Hom,m,N3,13.6
TDP43-Q331K-B6J-IC/3.3m,TDP-43_Q331K:Hom,m,W1,23
TDP43-Q331K-B6J-IC/3.3m,TDP-43_Q331K:Hom,m,W2,19.3
TDP43-Q331K-B6J-IC/3.3m,TDP-43_Q331K:Hom,m,W3,33
TDP43-Q331K-B6J-IC/3.3n,TDP-43_Q331K:WT,m,F1,58.7
TDP43-Q331K-B6J-IC/3.3n,TDP-43_Q331K:WT,m,F2,22
TDP43-Q331K-B6J-IC/3.3n,TDP-43_Q331K:WT,m,F3,6.9
TDP43-Q331K-B6J-IC/3.3n,TDP-43_Q331K:WT,m,N1,12
TDP43-Q331K-B6J-IC/3.3n,TDP-43_Q331K:WT,m,N2,4.1
TDP43-Q331K-B6J-IC/3.3n,TDP-43_Q331K:WT,m,N3,6.1
TDP43-Q331K-B6J-IC/3.3n,TDP-43_Q331K:WT,m,W1,16
TDP43-Q331K-B6J-IC/3.3n,TDP-43_Q331K:WT,m,W2,17.8
TDP43-Q331K-B6J-IC/3.3n,TDP-43_Q331K:WT,m,W3,1.1
TDP43-Q331K-B6J-IC/4.1a,TDP-43_Q331K:Hom,f,F1,
TDP43-Q331K-B6J-IC/4.1a,TDP-43_Q331K:Hom,f,F2,
TDP43-Q331K-B6J-IC/4.1a,TDP-43_Q331K:Hom,f,F3,
TDP43-Q331K-B6J-IC/4.1a,TDP-43_Q331K:Hom,f,N1,
TDP43-Q331K-B6J-IC/4.1a,TDP-43_Q331K:Hom,f,N2,
TDP43-Q331K-B6J-IC/4.1a,TDP-43_Q331K:Hom,f,N3,
TDP43-Q331K-B6J-IC/4.1a,TDP-43_Q331K:Hom,f,W1,
TDP43-Q331K-B6J-IC/4.1a,TDP-43_Q331K:Hom,f,W2,
